"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: tokens","Param: type"
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1.894100,0.007033,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,221.289352,16.162102,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,55.397774,12.953537,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,253.083896,8.939795,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,82.979716,19.653004,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,9.723858,0.015826,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,236.769048,10.854524,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,122.673471,106.143859,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,213.715686,10.356344,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,94.767461,12.218112,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,147.952475,0.119370,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,242.259023,9.195310,"ns/op",100,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,929.042549,3030.624556,"ns/op",100,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,304.801155,3.136117,"ns/op",100,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,475.233132,15.916102,"ns/op",100,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,303.934495,0.390023,"ns/op",200,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,391.468980,11.697703,"ns/op",200,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1045.114569,48.015636,"ns/op",200,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,440.068844,7.603855,"ns/op",200,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1060.147739,47.419867,"ns/op",200,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,459.895618,0.394866,"ns/op",300,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,550.977416,10.977488,"ns/op",300,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1448.324928,154.576780,"ns/op",300,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,561.800721,7.244494,"ns/op",300,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1438.548087,91.853343,"ns/op",300,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,615.785601,0.304637,"ns/op",400,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,704.139999,8.618408,"ns/op",400,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1910.919410,129.723671,"ns/op",400,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,707.020479,2.366402,"ns/op",400,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,2144.361484,557.123777,"ns/op",400,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,771.773963,0.633115,"ns/op",500,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,880.228255,32.671138,"ns/op",500,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,2583.157165,1362.141421,"ns/op",500,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,867.056114,3.525650,"ns/op",500,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,2366.185717,40.324917,"ns/op",500,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,928.313783,3.564498,"ns/op",600,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1022.213676,30.540399,"ns/op",600,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,3632.089274,6648.184621,"ns/op",600,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1029.050090,30.358208,"ns/op",600,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,6168.978406,17848.625244,"ns/op",600,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1084.130370,2.013155,"ns/op",700,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1175.858865,29.042063,"ns/op",700,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,4093.582268,2910.605956,"ns/op",700,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1175.148009,11.553264,"ns/op",700,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,3008.383111,45.320217,"ns/op",700,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1239.870278,0.804537,"ns/op",800,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1332.421546,21.238368,"ns/op",800,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,26396.394002,93842.090643,"ns/op",800,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1332.563438,14.597728,"ns/op",800,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,3489.088872,595.281028,"ns/op",800,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1396.080803,1.167359,"ns/op",900,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1483.744852,20.339247,"ns/op",900,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,4448.045963,4645.802609,"ns/op",900,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1510.954730,38.116858,"ns/op",900,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,3749.541128,407.823677,"ns/op",900,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1551.934818,2.604016,"ns/op",1000,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1646.416855,16.800177,"ns/op",1000,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,4585.479674,909.108907,"ns/op",1000,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,1647.372675,10.102473,"ns/op",1000,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testShared","avgt",2,5,4443.845496,137.250841,"ns/op",1000,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,1.892581,0.002051,"ns/op",0,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,16.019519,2.114642,"ns/op",0,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,14.916779,0.013830,"ns/op",0,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,17.591753,0.004583,"ns/op",0,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,19.570475,2.491264,"ns/op",0,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,9.724989,0.018184,"ns/op",10,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,20.652302,0.198855,"ns/op",10,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,19.148046,0.043679,"ns/op",10,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,23.684649,0.048606,"ns/op",10,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,24.871072,6.017291,"ns/op",10,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,147.981635,0.190350,"ns/op",100,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,157.088568,2.361824,"ns/op",100,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,154.316077,0.206387,"ns/op",100,sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,165.070509,0.351497,"ns/op",100,reflection-locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,159.976871,0.568752,"ns/op",100,reflection-sync
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,303.905977,0.566750,"ns/op",200,pooled
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,313.448280,2.420049,"ns/op",200,locking
"de.serdioa.common.pool.jmh.SharedObjectBenchmark.testMixed","avgt",2,5,310.240386,0.186599,"ns/op",200,sync
