"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: tokens"
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",2,5,2.004403,0.004055,"ns/op",,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",2,5,9.359411,0.038610,"ns/op",,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooled","avgt",2,5,148.560704,0.245352,"ns/op",,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",2,5,93.158759,1.614192,"ns/op",,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",2,5,96.751957,2.478282,"ns/op",,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingPooledAndShared","avgt",2,5,226.803479,1.818322,"ns/op",,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,92.526886,1.985720,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,84.860886,0.562077,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,223.978215,1.522423,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,83.257309,2.374197,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,86.835272,1.828857,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,219.370172,1.892118,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,82.785667,2.975194,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,86.213212,1.340913,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.creatingShared","avgt",2,5,230.487570,1.808626,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,3.571922,0.001858,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,12.242006,0.012153,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,150.233659,0.267253,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,5.787920,0.009075,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,14.177592,0.015914,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,152.734449,0.104669,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,5.787587,0.002244,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,14.177244,0.019001,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedPooled","avgt",2,5,152.757398,0.705326,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,212.124298,6.306908,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,181.817287,4.666534,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,280.002594,14.280728,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,58.736371,0.384655,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,68.505948,10.530676,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,204.291236,5.118373,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,44.384778,0.252395,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,57.839530,1.137616,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.preCreatedShared","avgt",2,5,190.336879,1.459288,"ns/op",100,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,3.338742,0.000871,"ns/op",1,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,3.340210,0.001681,"ns/op",1,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,3.339115,0.001174,"ns/op",1,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,5.155088,0.273341,"ns/op",10,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,5.136929,0.112163,"ns/op",10,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,5.187636,0.338400,"ns/op",10,100
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,5.279517,1.356499,"ns/op",100,0
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,5.297408,0.298699,"ns/op",100,10
"de.serdioa.common.pool.jmh.SharedObjectPoolBaselineBenchmark.rndBaseline","avgt",2,5,5.374909,0.005018,"ns/op",100,100
