"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: pooledObjectsCount","Param: sharedObjectKeepPercentage","Param: type"
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1421.659038,352.631861,"ns/op",1,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,5794.429933,707.001278,"ns/op",1,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,2865.256974,45.580978,"ns/op",1,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1220.735554,213.905714,"ns/op",1,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,5661.298422,229.718569,"ns/op",1,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,2855.596460,66.611620,"ns/op",1,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,932.304235,29.446936,"ns/op",1,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1324.235657,58.934771,"ns/op",1,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,2862.608501,30.363439,"ns/op",1,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1195.415427,109.536075,"ns/op",10,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,5236.920905,175.972570,"ns/op",10,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1961.948430,11.936084,"ns/op",10,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,861.154673,38.846252,"ns/op",10,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,3522.491582,1481.257683,"ns/op",10,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1495.999352,6.803345,"ns/op",10,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,608.474282,38.692191,"ns/op",10,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,858.231172,16.252166,"ns/op",10,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,782.022484,4.351440,"ns/op",10,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1156.766539,106.772854,"ns/op",100,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,4963.573244,651.998163,"ns/op",100,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1198.130622,9.982111,"ns/op",100,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,843.323067,156.232782,"ns/op",100,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,3694.162176,144.256212,"ns/op",100,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,821.495919,3.085758,"ns/op",100,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,583.884059,132.690448,"ns/op",100,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,810.625005,2.540000,"ns/op",100,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,541.000841,3.520468,"ns/op",100,1.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1219.101159,4.544224,"ns/op",1000,0.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,5379.093036,77.278958,"ns/op",1000,0.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,1105.203670,23.535224,"ns/op",1000,0.0,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,752.260863,6.747340,"ns/op",1000,0.5,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,3751.157547,500.103495,"ns/op",1000,0.5,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,684.389465,16.820299,"ns/op",1000,0.5,concurrent
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,681.328756,204.521315,"ns/op",1000,1.0,sync
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,857.775995,5.855771,"ns/op",1000,1.0,locking
"de.serdioa.common.pool.jmh.SharedObjectPoolBenchmark.testGet","avgt",6,5,500.351518,5.185692,"ns/op",1000,1.0,concurrent
